"accessno","author"
"0000007427","Whitney, Norman"
"0000007428","Whitney, Norman"
"0000007429","Whitney, Norman"
"0000007430","Webb, Mary"
"0000007437","Salazar, Evelyn"
"0000007431","Tarner, Margaret"
"0000007438","Tarner, Margaret"
"0000007432","Steinback, John"
"0000007433","Stevenson Louis, Robert"
"0000007434","Sperry, Armstrong"
"0000007435","Shute, Nevil"
"0000007436","Shernan, D. R."
"0000007439","Salandanan, Gloria G."
"0000007440","Salandanan, Gloria G."
"0000007441","Romero, Angelita D."
"0000007442","Rodriguez, Wilhelmina Paras"
"0000007442","Zapata, Pilar R."
"0000007443","Rodriguez, Wilhelmina P."
"0000007444","Rodriguez, Wilhelmina P."
"0000007445","Rodriguez, Wilhelmina P."
"0000007447","Prowse, Philip"
"0000007448","Laird, Elizabeth"
"0000007449","Asin, Ricardo C."
"0000007450","Seeds, Michael A."
"0000007455","Powell, Thomas A."
"0000007456","Rabb, Margaret Y."
"0000007457","Reyes, Severino"
"0000007457","Lumbera, Bienvenida"
"0000007457","Cordero-Fernando, Gilda"
"0000007457","Gamos, Albert"
"0000007457","Lola Basyang"
"0000007458","Roberts, Eric S."
"0000007459","Ross, Stewart"
"0000007462","Ross, Stewart"
"0000007464","Rodriguez, Wilhenmina Paras"
"0000007465","Folk, Jeannie M."
"0000007465","Garrison, Ray H."
"0000007465","Noreen, Erick W."
"0000007466","Rodriguez, Wilhelmina P."
"0000007467","Rodriguez, Wilhelmina P."
"0000007468","Rodriguez, Wilhelmina P."
"0000007469","Rodriguez, Wilhelmina p."
"0000007470","Resuma, Vilma M."
"0000007471","Prowse, Philip"
"0000007472","Thiong' O Wa, Ngugi"
"0000007473","none"
"0000007474","Forlini, Gary"
"0000007475","none"
"0000007476","McGinnis, Allan Loy"
"0000007477","none"
"0000007478","Ortigas, Carmela"
"0000007479","none"
"0000007480","none"
"0000007481","Townsend, Patrick L."
"0000007482","Townsend, Patrick L."
"0000007483","McKeachie, Wilbert J."
"0000007484","Stewart, Molly Mia"
"0000007485","Stewart, Molly Mia"
"0000007486","Rowling, J.K."
"0000007487","Stevenson, Robert Louis"
"0000007488","Stewart, Molly Mia"
"0000007489","Stewart, Molly Mia"
"0000007490","Hewitt, Paul G."
"0000007491","Giancoli, Douglas C."
"0000007492","Strauss, Eric"
"0000007492","Lisowski, Marilyn"
"0000007493","Starr, Cecie"
"0000007494","Rogacion, Rosanna C."
"0000007494","Leo Cultura"
"0000007496","Cooke, Daniel"
"0000007498","Rogacion , Rosanna C."
"0000007498","Leo Cultura"
"0000007499","Ford, William"
"0000007499","Topp, William"
"0000007501","Andres, Tomas D."
"0000007502","Porras, Jerry L."
"0000007500","none"
"0000007503","Pedrosa, Carmen Navarro"
"0000007504","Pedrosa, Carmen Navarro"
"0000007505","Andres, Tomas D."
"0000007506","Santiago, Alfonso O."
"0000007507","none"
"0000007509","Villamir, Araceli M."
"0000007508","Villamir, Araceli M."
"0000007510","Santiago, Aurea Jimenez"
"0000007511","Prescott, Richard"
"0000007512","Prescott, Richard"
"0000007513","Paloyapoy, Elisa D."
"0000007514","Pinga, Estela M.A."
"0000007515","Pineda, Osmunda"
"0000007516","Pineda, Osmunda L."
"0000007517","Pennink, Betsy"
"0000007518","Palma, Leonida C."
"0000007519","Palma, Leonida"
"0000007520","Pado, Felicitas E."
"0000007521","Pado, Felicitas E."
"0000007522","Naguit, Lope Jr."
"0000007523","Maugham, Somerset W."
"0000007524","Maurier Du, Daphne"
"0000007525","Maurier Du, Daphne"
"0000007526","Milne, John"
"0000007527","Milne, John"
"0000007528","Laird, Elizabeth"
"0000007529","khoo, Catherine"
"0000007530","Laird, Elizabeth"
"0000007531","Laird, Elizabeth"
"0000007532","Matthews, Geoffrey"
"0000007533","McGovern, Kieran"
"0000007534","McIver, Nick"
"0000007535","Moore, C.T."
"0000007536","Youngs, Bettie B."
"0000007537","Lonier, Terri"
"0000007538","Blake, Robert Rogers"
"0000007539","Tomas, Andres D."
"0000007540","none"
"0000007541","Bailey, Kenneth D."
"0000007542","Best, John W."
"0000007543","Henson, Ronald M."
"0000007544","Odum, Eugene P."
"0000007545","Seeley, Rod R."
"0000007546","none"
"0000007547","none"
"0000007548","none"
"0000007549","none"
"0000007550","Foster, Karen"
"0000007551","Sta.Maria, Felice Prudente"
"0000007552","Peppin, Anthea"
"0000007553","none"
"0000007555","Quirino, Carlos"
"0000007554","none"
"0000007556","Galdon, Joseph A., S.J."
"0000007557","Conconan, Neil"
